# ID	lat[deg]	long[deg]	czHelio[km/s]	Ks	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]
09143730+0807017	35.4311	222.7092	9298	10.664	106488	1	35.4311	222.7092	9298
09143921-6026029	-8.0308	279.0946	2931	9.354	202492	2	-8.1975	279.1743	2894
09144107+1527432	38.5701	214.3891	4237	10.372	110982	1	38.5700	214.3891	4237
09144475+2234351	41.0019	205.6831	8162	11.613	103139	2	41.0357	205.6900	8160
09145835+5121392	42.9921	166.6927	8242	10.848	107649	1	42.9922	166.6926	8242
09144582+2007401	40.2478	208.7526	9731	11.699	108027	1	40.2478	208.7526	9731
09144342+4947102	43.1970	168.8314	8735	11.741	102099	2	43.4445	168.7875	8652
09145775+5323112	42.6186	163.9791	8667	11.456	108691	1	42.6186	163.9791	8667
09145563+4654122	43.5730	172.7652	4251	10.466	111272	1	43.5730	172.7651	4251
09150005+2235051	41.0607	205.6952	8158	11.452	103139	2	41.0357	205.6900	8160
09150352+2916121	42.7060	196.9872	6316	11.571	100196	11	42.7974	195.7912	6679
09150153+4002115	43.8563	182.2628	8227	11.388	109051	1	43.8563	182.2628	8227
09150664+7407318	35.5495	138.7312	11232	11.459	106351	1	35.5495	138.7311	11232
09150197+1735322	39.4393	211.8839	8388	11.394	100085	15	39.5622	212.5957	8410
09145961+2943492	42.7798	196.3683	6344	9.942	100196	11	42.7974	195.7912	6679
09145244+7911463	33.0676	133.3763	1957	11.736	103163	2	33.0178	133.4224	1958
09150276+1941491	40.1688	209.3138	7843	11.713	100098	11	40.7515	208.9047	8511
09150480-2815475	14.1137	255.5758	2114	10.160	112302	1	14.1137	255.5758	2114
09151532+4055035	43.9096	181.0410	2650	9.466	102420	2	43.7667	181.7349	2596
09151695+1153083	37.2536	218.6084	4957	10.032	109353	1	37.2536	218.6084	4957
09152812+3148252	43.2338	193.5936	12553	11.111	104921	1	43.2338	193.5936	12553
09152274+2717119	42.3602	199.6395	13728	11.432	104897	1	42.3602	199.6395	13728
09152266-2523241	16.0757	253.4006	16636	10.522	101678	2	16.1990	253.4032	16794
09152798-2534021	15.9733	253.5525	2714	11.521	112850	1	15.9733	253.5526	2714
09152732+7700028	34.1929	135.6408	11048	11.388	106449	1	34.1929	135.6409	11048
09153491-3538528	9.1903	261.1988	2272	9.361	111648	1	9.1903	261.1989	2272
09153646-6304106	-9.7511	281.1188	2857	8.781	200687	4	-9.6574	281.8989	2940
09153698-6435156	-10.7857	282.2477	5754	11.094	201305	3	-10.6972	282.4137	5819
09153873-0627090	27.9832	237.4650	6396	11.025	101636	2	28.0005	237.5595	6210
09153810-8646005	-25.1961	300.0433	5081	9.883	208828	1	-25.1962	300.0433	5081
09154457+4215585	43.9889	179.1667	4195	10.848	111819	1	43.9889	179.1666	4195
09154452+4414095	43.9149	176.4324	9634	11.230	100672	4	44.1179	176.5957	9563
09155503+1007573	36.6313	220.6683	9369	11.289	101299	3	36.6724	220.6408	9309
09155757+2328207	41.5259	204.6473	8192	11.573	109366	1	41.5259	204.6473	8192
09155342-3211359	11.5931	258.6741	8961	11.070	100700	4	11.7382	259.1115	8958
09155451+2055437	40.7584	207.8677	9004	11.176	100098	11	40.7515	208.9047	8511
09155548+4419576	43.9422	176.2959	11927	11.152	105262	1	43.9422	176.2959	11927
09160180+1749144	39.7426	211.7170	8613	10.801	100085	15	39.5622	212.5957	8410
09160178+1735234	39.6602	211.9973	8820	10.216	100085	15	39.5622	212.5957	8410
09160388+1737424	39.6818	211.9544	8581	9.842	100085	15	39.5622	212.5957	8410
09160751-0633468	28.0160	237.6451	6025	11.007	101636	2	28.0005	237.5595	6210
09161109-1618457	22.1007	246.2083	2103	8.019	102979	2	22.2261	246.3794	2091
09161561+3049261	43.2429	194.9627	6812	11.601	100196	11	42.7974	195.7912	6679
09161897+4133000	44.1068	180.1608	7450	11.721	110245	1	44.1068	180.1608	7450
09161974-2337596	17.3984	252.1723	2559	8.265	108897	1	17.3984	252.1723	2559
09162523+0705436	35.3451	224.0725	16848	11.434	103109	2	35.0637	223.9271	16854
09162163+3249471	43.5678	192.2381	14973	11.332	101615	3	44.0389	192.2014	14940
09162170+1743380	39.7831	211.8672	7782	11.328	100085	15	39.5622	212.5957	8410
09162215+1013546	36.7750	220.6190	9256	11.461	101299	3	36.6724	220.6408	9309
09162804+4208188	44.1257	179.3405	7228	11.488	109702	1	44.1257	179.3405	7228
09161996+6952568	37.5214	143.4095	4482	11.484	102526	2	37.6550	143.3993	4439
09163432+1755088	39.8981	211.6569	8137	11.472	100085	15	39.5622	212.5957	8410
09163127-1735488	21.3479	247.3315	5030	11.220	111658	1	21.3479	247.3315	5030
09164337+5330589	42.8488	163.7332	17186	11.545	103814	1	42.8487	163.7332	17186
09164113+2920222	43.0673	196.9873	10853	11.447	106644	1	43.0672	196.9873	10853
09164141+1857487	40.2875	210.3895	8744	11.205	100954	3	40.3500	210.4292	8694
09164185+3054551	43.3506	194.8603	6950	9.816	100196	11	42.7974	195.7912	6679
09164387+1857167	40.2935	210.4048	8905	10.835	100954	3	40.3500	210.4292	8694
09164476+1950168	40.5928	209.3125	8555	11.488	100098	11	40.7515	208.9047	8511
09164605+4548490	43.9870	174.2289	7854	11.520	101124	3	44.0914	174.3645	7913
09164799-2648584	15.3649	254.7273	2537	9.512	111576	1	15.3649	254.7273	2537
09164777+4946491	43.5288	168.7725	8569	10.644	102099	2	43.4445	168.7875	8652
09165000+2011548	40.7301	208.8723	8293	9.844	100098	11	40.7515	208.9047	8511
09164948+2729221	42.7181	199.4675	7072	10.930	109077	1	42.7181	199.4674	7072
09165103+4542030	44.0108	174.3836	7820	10.850	101124	3	44.0914	174.3645	7913
09164681+4342450	44.1282	177.1461	9323	10.956	100672	4	44.1179	176.5957	9563
09165445+1704391	39.6701	212.7162	8276	11.600	100085	15	39.5622	212.5957	8410
09165350+1727271	39.8044	212.2538	8556	10.884	100085	15	39.5622	212.5957	8410
09170065+2002108	40.7167	209.0925	8071	10.928	100098	11	40.7515	208.9047	8511
09170388+2645521	42.6073	200.4445	7318	11.674	109741	1	42.6073	200.4445	7318
09170257-2503584	16.5722	253.4083	16953	11.716	101678	2	16.1990	253.4032	16794
09170531+2525451	42.2919	202.2031	1652	11.194	112954	1	42.2919	202.2031	1652
09170783+1724358	39.8404	212.3384	8422	11.444	100085	15	39.5622	212.5957	8410
09170689+2004108	40.7507	209.0615	8345	10.090	100098	11	40.7515	208.9047	8511
