# pgc	lat[deg]	long[deg]	czHelio[km/s]	mu	muError	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
147050	-22.6572	201.1800	8544	34.69	0.50	200129	10	-22.80	201.48	8080	35.42	0.25
147059	-22.8374	201.6506	8039	35.52	0.50	200129	10	-22.80	201.48	8080	35.42	0.25
147063	-22.7505	201.5014	8455	35.88	0.50	200129	10	-22.80	201.48	8080	35.42	0.25
147065	-29.6512	217.3588	12906	36.14	0.50	201646	2	-29.28	217.18	12688	35.63	0.29
147071	-30.2702	219.2189	15434	36.78	0.50	200828	3	-29.98	219.22	15258	36.48	0.20
147092	-25.3964	207.3828	10459	35.69	0.50	0	1	-25.40	207.38	10459	35.69	0.50
147094	-26.2347	209.2794	10714	35.97	0.50	201748	2	-26.18	208.96	10562	35.97	0.50
147095	-29.3840	217.1975	12877	35.40	0.50	201646	2	-29.28	217.18	12688	35.63	0.29
147099	-28.1714	214.0010	12919	36.02	0.50	200883	3	-28.22	213.98	13023	36.85	0.35
147123	-35.9583	260.9017	15471	37.27	0.50	0	1	-35.96	260.90	15471	37.27	0.50
147125	-35.3291	270.4260	15630	36.39	0.50	0	1	-35.33	270.43	15630	36.39	0.50
147127	-35.9441	260.8131	15210	37.66	0.50	0	1	-35.94	260.81	15210	37.66	0.50
147155	-35.7411	254.2938	14221	36.26	0.50	204768	1	-35.74	254.29	14221	36.67	0.35
147192	-32.3152	230.4989	11358	36.01	0.50	200886	3	-32.54	230.30	10660	35.95	0.26
147212	-34.9165	271.3896	4473	34.30	0.50	200155	9	-34.70	270.88	4824	34.59	0.19
147214	-22.8112	204.6604	7763	34.89	0.50	200934	3	-22.82	204.81	7433	34.89	0.50
147220	-35.4158	264.8316	15403	36.63	0.50	0	1	-35.42	264.83	15403	36.63	0.50
147224	-35.4978	254.6460	13718	37.09	0.50	204768	1	-35.50	254.65	13718	36.67	0.35
147243	-35.4888	257.8051	13313	36.39	0.50	0	1	-35.49	257.81	13313	36.39	0.50
147271	-27.9448	217.1960	13214	36.77	0.50	204544	1	-27.94	217.20	13214	36.78	0.35
147322	-28.5209	220.4420	14143	36.76	0.50	0	1	-28.52	220.44	14143	36.76	0.50
147323	-25.8245	213.3336	15911	36.31	0.50	204020	1	-25.82	213.33	15911	36.31	0.50
147365	-26.4399	217.1703	12941	37.02	0.50	0	1	-26.44	217.17	12941	37.02	0.50
147371	-22.5750	208.1463	9997	35.21	0.50	0	1	-22.58	208.15	9997	35.21	0.50
147379	-27.1022	219.1109	13773	35.42	0.50	204804	1	-27.10	219.11	13773	36.46	0.35
147381	-21.5413	206.0844	15914	35.90	0.50	0	1	-21.54	206.08	15914	35.90	0.50
147395	-26.5317	217.7843	13361	36.75	0.50	0	1	-26.53	217.78	13361	36.75	0.50
