# pgc	lat[deg]	long[deg]	czHelio[km/s]	mu	muError	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
31438	26.5207	269.4761	3555	33.33	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31441	26.5919	269.4267	2974	33.92	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31443	26.8909	269.2128	4181	33.26	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31444	26.4060	269.5735	2781	34.01	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31447	26.6304	269.4209	3300	33.77	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31450	26.4960	269.5275	4793	34.14	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31456	26.0193	269.8955	4347	33.43	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31462	25.8976	269.9951	3660	33.39	0.35	100006	85	26.41	269.60	3712	33.67	0.05
31465	26.5207	269.5412	3156	34.28	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31466	26.4808	269.5714	4090	33.55	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31476	26.4566	269.6168	4747	33.55	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31478	26.4873	269.6019	3836	33.12	0.35	100006	85	26.41	269.60	3712	33.67	0.05
31482	28.3739	268.1889	3707	32.72	0.54	100006	85	26.41	269.60	3712	33.67	0.05
31483	26.5403	269.5732	2744	33.51	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31485	34.2242	263.3608	6085	34.54	0.40	109232	1	34.22	263.36	6085	34.54	0.40
31488	26.1763	269.8690	4831	33.68	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31493	22.4566	272.5077	2859	32.97	0.30	110761	1	22.46	272.51	2859	32.97	0.30
31494	26.9046	269.3441	3536	33.91	0.54	100006	85	26.41	269.60	3712	33.67	0.05
31495	26.1852	269.8794	3530	33.41	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31498	53.8098	235.3087	9654	35.89	0.40	0	1	53.81	235.31	9654	35.89	0.40
31513	26.4965	269.6928	2857	33.87	0.45	100006	85	26.41	269.60	3712	33.67	0.05
31528	55.4310	230.9789	2890	33.20	0.30	112294	1	55.43	230.98	2890	33.20	0.30
31533	14.5692	277.6691	2773	32.73	0.21	110208	1	14.57	277.67	2773	32.73	0.21
31537	26.6063	269.6837	4805	33.32	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31540	26.8419	269.5193	3756	33.49	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31542	26.5367	269.7495	4021	33.58	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31545	60.0999	185.0306	7064	35.59	0.40	102531	3	60.48	184.34	7054	35.59	0.40
31552	46.6222	142.7591	6741	35.05	0.17	0	1	46.62	142.76	6741	35.05	0.17
31553	53.9603	235.2695	9698	35.55	0.40	0	1	53.96	235.27	9698	35.55	0.40
31557	27.5914	269.0114	3350	34.49	0.30	100006	85	26.41	269.60	3712	33.67	0.05
31560	43.8966	138.9931	1823	32.99	0.54	0	1	43.90	138.99	1823	32.99	0.54
31571	26.5428	269.8304	4063	33.43	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31577	26.9974	269.5117	4379	32.56	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31580	27.0109	269.5070	4360	34.13	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31585	27.3636	269.2637	3580	33.89	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31586	26.9918	269.5499	2995	33.14	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31590	23.9883	271.7239	3369	34.05	0.30	100648	4	24.49	271.82	3468	33.32	0.16
31593	25.4799	270.6922	4382	34.16	0.30	100006	85	26.41	269.60	3712	33.67	0.05
31595	12.6518	278.9786	6516	35.02	0.40	100330	6	12.90	278.67	6280	34.93	0.23
31599	26.7108	269.8255	5229	33.76	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31600	-19.5998	297.7498	2004	32.14	0.30	212078	1	-19.60	297.75	2004	32.14	0.30
31604	49.2073	245.7070	10378	35.38	0.40	106565	1	49.21	245.71	10378	35.38	0.40
31607	59.8232	180.8621	8977	36.09	0.40	102147	2	60.03	180.83	9177	36.09	0.40
31616	25.6129	270.6671	3956	33.60	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31621	35.8301	130.1143	1957	32.79	0.40	0	1	35.83	130.11	1957	32.79	0.40
31626	25.5408	270.7527	4387	34.05	0.30	100006	85	26.41	269.60	3712	33.67	0.05
31634	46.3107	250.4684	8272	35.22	0.40	108610	1	46.31	250.47	8272	35.22	0.40
31638	26.5359	270.1114	4413	31.56	0.40	100006	85	26.41	269.60	3712	33.67	0.05
31642	25.8513	270.6382	3463	32.91	0.30	100006	85	26.41	269.60	3712	33.67	0.05
31651	51.8687	241.0994	8348	35.03	0.40	100883	3	51.58	240.91	8655	35.03	0.40
31653	39.6227	258.8818	2487	32.94	0.30	112510	1	39.62	258.88	2487	32.94	0.30
31669	10.5170	280.4727	5630	34.52	0.50	100029	29	11.16	280.63	6248	34.51	0.14
31671	59.3418	175.9803	739	30.58	0.17	113022	1	59.34	175.98	739	30.58	0.17
31677	24.4611	271.7821	3762	33.39	0.30	100648	4	24.49	271.82	3468	33.32	0.16
31683	27.3787	269.7187	3080	33.64	0.30	100006	85	26.41	269.60	3712	33.67	0.05
31690	25.0775	271.3867	3881	33.78	0.30	100006	85	26.41	269.60	3712	33.67	0.05
31693	49.4385	246.0770	707	30.09	0.20	0	1	49.44	246.08	707	30.09	0.20
31695	29.9658	267.8025	3979	31.90	0.40	100692	4	29.92	268.00	3769	32.16	0.31
31697	56.9874	164.9637	852	31.95	0.30	0	1	56.99	164.96	852	31.95	0.30
31706	29.8436	267.9398	3841	32.57	0.50	100692	4	29.92	268.00	3769	32.16	0.31
31708	57.2593	165.8441	2315	32.73	0.30	112471	1	57.26	165.84	2315	32.73	0.30
31720	57.0442	164.9403	1529	32.45	0.30	0	1	57.04	164.94	1529	32.45	0.30
31723	19.6331	275.1329	4161	34.03	0.40	102072	2	19.67	275.26	4243	34.03	0.40
31725	57.4158	226.8541	6657	35.74	0.40	0	1	57.42	226.85	6657	35.74	0.40
31729	60.2891	211.3534	6314	34.72	0.17	107867	1	60.29	211.35	6314	34.72	0.17
31730	24.6331	271.8669	3369	32.47	0.54	100648	4	24.49	271.82	3468	33.32	0.16
31732	25.2963	271.4135	3767	33.62	0.30	100006	85	26.41	269.60	3712	33.67	0.05
31738	24.5816	271.9299	3392	32.79	0.30	100648	4	24.49	271.82	3468	33.32	0.16
31755	10.7644	280.5518	6155	34.82	0.50	100029	29	11.16	280.63	6248	34.51	0.14
31761	19.3641	275.4308	2785	32.52	0.30	100458	5	19.61	275.88	3003	32.47	0.18
31765	26.6393	270.5869	4515	32.09	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31768	54.2683	236.8321	5834	34.56	0.17	106932	1	54.27	236.83	5834	34.56	0.17
31776	26.6698	270.5998	3965	33.27	0.50	100006	85	26.41	269.60	3712	33.67	0.05
31777	10.9104	280.5307	6649	34.42	0.35	100029	29	11.16	280.63	6248	34.51	0.14
31794	26.6166	270.7245	4474	33.82	0.35	100006	85	26.41	269.60	3712	33.67	0.05
31797	19.5267	275.4655	2656	31.59	0.54	100458	5	19.61	275.88	3003	32.47	0.18
31805	27.3771	270.2219	4743	33.32	0.30	100006	85	26.41	269.60	3712	33.67	0.05
31809	25.9825	271.2232	3741	33.03	0.54	100006	85	26.41	269.60	3712	33.67	0.05
31822	25.6552	271.5048	3738	31.94	0.54	100006	85	26.41	269.60	3712	33.67	0.05
31826	46.6318	251.4240	6313	34.38	0.50	107784	1	46.63	251.42	6313	34.38	0.50
31829	28.1857	269.7246	4443	33.54	0.54	100006	85	26.41	269.60	3712	33.67	0.05
31834	52.7632	240.8596	6259	34.96	0.40	0	1	52.76	240.86	6259	34.96	0.40
31858	57.8219	227.1359	6598	35.54	0.40	110172	1	57.82	227.14	6598	35.54	0.40
31874	26.0669	271.4473	3711	33.28	0.46	100006	85	26.41	269.60	3712	33.67	0.05
31875	19.0815	276.0162	3187	32.84	0.30	100458	5	19.61	275.88	3003	32.47	0.18
31883	57.0195	230.3312	1298	31.84	0.30	100122	11	57.65	233.45	971	30.36	0.06
31889	56.4095	232.3168	9784	35.81	0.40	0	1	56.41	232.32	9784	35.81	0.40
31906	12.2091	280.1721	5902	33.81	0.50	100029	29	11.16	280.63	6248	34.51	0.14
31909	24.3299	272.7733	2492	32.82	0.40	0	1	24.33	272.77	2492	32.82	0.40
31919	30.2209	268.6219	1043	30.52	0.30	0	1	30.22	268.62	1043	30.52	0.30
31924	27.8346	270.4233	10648	35.77	0.40	0	1	27.83	270.42	10648	35.77	0.40
31926	19.6628	275.8471	2998	32.16	0.45	100458	5	19.61	275.88	3003	32.47	0.18
31927	51.2512	149.0559	9362	35.57	0.20	0	1	51.25	149.06	9362	35.57	0.20
31951	28.3456	270.1841	4520	34.37	0.30	100006	85	26.41	269.60	3712	33.67	0.05
31961	19.1326	276.3391	669	29.20	0.20	0	1	19.13	276.34	669	29.20	0.20
31968	61.2548	210.0399	583	29.96	0.20	112165	1	61.25	210.04	583	29.96	0.20
31981	26.1813	271.8425	3467	34.09	0.40	100006	85	26.41	269.60	3712	33.67	0.05
31984	56.2162	234.2260	6586	35.48	0.40	0	1	56.22	234.23	6586	35.48	0.40
31987	30.0022	269.1496	3728	33.77	0.30	111451	1	30.00	269.15	3728	33.77	0.30
31993	47.2799	251.8257	10998	36.04	0.50	0	1	47.28	251.83	10998	36.04	0.50
31995	18.1126	277.0489	2935	32.81	0.30	110750	1	18.11	277.05	2935	32.81	0.30
31996	61.8234	203.3727	1470	32.16	0.54	0	1	61.82	203.37	1470	32.16	0.54
32007	56.3680	233.9518	776	30.12	0.12	100122	11	57.65	233.45	971	30.36	0.06
32021	53.5846	241.0817	6140	34.39	0.40	108950	1	53.58	241.08	6140	34.39	0.40
32026	40.7715	259.9074	8441	35.59	0.50	107621	1	40.77	259.91	8441	35.59	0.50
32039	23.4053	273.9028	2929	33.15	0.30	112155	1	23.41	273.90	2929	33.15	0.30
32042	29.2319	269.9179	4432	34.27	0.50	102754	2	28.94	269.97	4404	34.27	0.50
32044	40.8317	259.9342	1915	32.17	0.30	112585	1	40.83	259.93	1915	32.17	0.30
32054	38.3684	262.3916	8455	35.63	0.50	106809	1	38.37	262.39	8455	35.63	0.50
32055	61.7232	207.5360	6249	34.83	0.40	100269	7	62.11	207.68	6321	34.83	0.40
32059	38.0794	131.6928	1890	33.19	0.30	112365	1	38.08	131.69	1890	33.19	0.30
32119	56.5381	234.9162	6566	34.85	0.40	0	1	56.54	234.92	6566	34.85	0.40
32125	55.6680	237.3707	10063	35.90	0.40	0	1	55.67	237.37	10063	35.90	0.40
32144	12.1318	280.9689	5508	34.17	0.50	100029	29	11.16	280.63	6248	34.51	0.14
32153	50.7553	247.7518	988	31.23	0.30	112899	1	50.76	247.75	988	31.23	0.30
32168	47.8940	252.2619	10751	35.42	0.50	100408	5	48.30	252.08	11157	35.39	0.29
32183	48.5921	143.5965	1014	31.38	0.30	112635	1	48.59	143.60	1014	31.38	0.30
32192	57.0104	234.4355	892	30.14	0.15	100122	11	57.65	233.45	971	30.36	0.06
32206	62.3156	206.9508	6282	34.66	0.20	0	1	62.32	206.95	6282	34.66	0.20
32207	59.6722	225.3509	1283	32.09	0.12	112647	1	59.67	225.35	1283	32.09	0.12
32249	58.3180	231.1784	684	30.13	0.16	100122	11	57.65	233.45	971	30.36	0.06
32250	17.9646	278.0430	715	29.20	0.20	0	1	17.96	278.04	715	29.20	0.20
32251	56.7995	235.8049	2716	32.76	0.30	112284	1	56.80	235.80	2716	32.76	0.30
32252	49.5050	250.6214	11590	35.58	0.50	104734	1	49.51	250.62	11590	35.92	0.35
32256	57.6328	233.4902	908	30.25	0.14	100122	11	57.65	233.45	971	30.36	0.06
32273	48.4505	252.3568	11221	35.35	0.50	100408	5	48.30	252.08	11157	35.39	0.29
32288	58.0448	232.5627	5494	34.87	0.40	0	1	58.04	232.56	5494	34.87	0.40
32292	57.7525	233.5221	563	30.01	0.16	100122	11	57.65	233.45	971	30.36	0.06
32306	57.7406	233.7198	1306	31.55	0.30	100122	11	57.65	233.45	971	30.36	0.06
32328	12.2676	281.4325	5654	34.51	0.40	100029	29	11.16	280.63	6248	34.51	0.14
32364	54.6432	242.1571	719	31.11	0.54	113077	1	54.64	242.16	719	31.11	0.54
32368	62.9607	204.0916	1428	31.61	0.54	100492	5	63.40	203.93	1403	32.06	0.16
32369	24.7034	274.3723	3217	31.40	0.54	101971	2	24.43	274.28	3094	31.40	0.54
32388	49.7605	251.1376	11565	36.25	0.50	104734	1	49.76	251.14	11565	35.92	0.35
32424	63.1433	192.9209	1621	30.90	0.45	100508	5	63.48	192.83	1627	31.97	0.25
32442	48.8277	252.8314	11191	35.39	0.50	100408	5	48.30	252.08	11157	35.39	0.29
32443	57.2629	236.4529	10111	36.09	0.40	0	1	57.26	236.45	10111	36.09	0.40
32466	40.9791	262.1544	4603	33.65	0.50	100324	6	40.66	262.53	4682	34.24	0.19
32470	36.9568	265.8328	6151	34.80	0.40	101175	3	36.90	266.02	6124	34.82	0.31
32479	40.4050	262.7640	4584	34.12	0.50	100324	6	40.66	262.53	4682	34.24	0.19
32495	47.0457	140.5939	3388	34.09	0.40	102107	2	47.04	140.56	3315	34.09	0.40
32508	58.7001	232.8696	843	30.26	0.28	100122	11	57.65	233.45	971	30.36	0.06
32512	47.0307	140.4977	3232	33.72	0.20	0	1	47.03	140.50	3232	33.72	0.20
32514	40.8011	262.5927	4446	34.61	0.50	100324	6	40.66	262.53	4682	34.24	0.19
32519	62.9516	185.8282	7133	35.00	0.40	107263	1	62.95	185.83	7133	35.00	0.40
32532	63.4053	204.3581	1182	32.04	0.30	100492	5	63.40	203.93	1403	32.06	0.16
32533	63.4185	204.0778	1421	32.05	0.28	100492	5	63.40	203.93	1403	32.06	0.16
32534	40.8853	262.6422	4332	34.06	0.50	100324	6	40.66	262.53	4682	34.24	0.19
32540	59.1012	231.9527	3076	33.43	0.40	112067	1	59.10	231.95	3076	33.43	0.40
32543	63.4761	193.3471	636	30.99	0.28	113065	1	63.48	193.35	636	30.99	0.28
32548	42.7189	260.8488	2484	33.30	0.54	0	1	42.72	260.85	2484	33.30	0.54
32550	34.7197	268.0287	2054	32.08	0.30	112866	1	34.72	268.03	2054	32.08	0.30
32552	56.5428	239.4635	8019	35.40	0.40	107511	1	56.54	239.46	8019	35.40	0.40
32555	56.1043	240.4768	6627	34.86	0.20	0	1	56.10	240.48	6627	34.86	0.20
32565	21.2989	277.0429	4756	34.49	0.30	102982	2	21.18	277.09	4656	34.49	0.30
32570	53.6105	245.8779	1041	31.87	0.40	0	1	53.61	245.88	1041	31.87	0.40
32611	50.1354	252.0329	5559	34.54	0.40	108517	1	50.14	252.03	5559	34.54	0.40
32614	63.6383	192.9016	1585	32.44	0.30	100508	5	63.48	192.83	1627	31.97	0.25
32643	63.1620	184.7721	617	30.71	0.54	112910	1	63.16	184.77	617	30.71	0.54
32644	57.1887	238.6483	6386	35.22	0.40	0	1	57.19	238.65	6386	35.22	0.40
32648	62.8187	215.1798	1276	31.92	0.30	112357	1	62.82	215.18	1276	31.92	0.30
32650	12.8108	281.9364	5624	34.15	0.50	109820	1	12.81	281.94	5624	34.15	0.50
32660	12.3656	282.2026	2872	33.43	0.40	112588	1	12.37	282.20	2872	33.43	0.40
32666	23.6679	275.9842	3277	33.52	0.30	101179	3	23.69	276.03	3269	33.52	0.30
32667	44.2331	136.8848	116	27.98	0.16	101368	3	40.93	142.14	-2	27.85	0.04
32670	57.3862	238.4731	9395	35.92	0.40	108529	1	57.39	238.47	9395	35.92	0.40
32671	61.0846	225.9874	1133	32.05	0.30	101358	3	61.40	226.52	1119	31.90	0.16
32673	17.1527	279.7350	4829	34.05	0.50	108522	1	17.15	279.73	4829	34.05	0.50
32681	45.1304	259.0363	2463	33.54	0.40	112804	1	45.13	259.04	2463	33.54	0.40
32708	57.2489	239.3918	1138	30.73	0.54	100122	11	57.65	233.45	971	30.36	0.06
32709	63.8253	206.5904	6338	35.10	0.40	102738	2	63.78	206.60	6299	35.10	0.40
32714	53.5013	149.5547	1908	32.94	0.30	112327	1	53.50	149.55	1908	32.94	0.30
32716	41.7996	262.7847	8241	35.83	0.50	102861	2	42.01	262.69	8208	35.15	0.35
32717	19.0986	278.8474	7696	34.88	0.40	109022	1	19.10	278.85	7696	34.88	0.40
32719	40.9516	133.4429	1261	32.15	0.30	112862	1	40.95	133.44	1261	32.15	0.30
32729	60.0859	165.9619	12450	36.20	0.17	105351	1	60.09	165.96	12450	36.20	0.17
32730	38.2964	266.0496	4190	33.28	0.40	110243	1	38.30	266.05	4190	33.28	0.40
32742	42.1160	262.6373	8166	34.47	0.50	102861	2	42.01	262.69	8208	35.15	0.35
32754	64.0217	205.8868	1333	32.24	0.30	100492	5	63.40	203.93	1403	32.06	0.16
32762	12.0182	282.7136	5854	34.89	0.40	100493	5	12.20	282.60	5767	34.89	0.40
32763	61.3096	226.7277	1104	31.46	0.45	101358	3	61.40	226.52	1119	31.90	0.16
32767	61.2912	226.8471	1103	32.35	0.30	101358	3	61.40	226.52	1119	31.90	0.16
32768	58.4012	236.9519	9482	35.63	0.40	0	1	58.40	236.95	9482	35.63	0.40
32772	53.6660	149.5940	2005	31.11	0.40	112820	1	53.67	149.59	2005	31.11	0.40
32773	58.1671	237.6609	9435	36.05	0.40	0	1	58.17	237.66	9435	36.05	0.40
32778	34.1329	269.5732	3731	33.57	0.40	109897	1	34.13	269.57	3731	33.57	0.40
32786	50.6494	144.5936	5158	34.94	0.40	102218	2	50.51	144.72	5089	34.94	0.40
32787	61.4960	226.2713	1159	31.56	0.28	101358	3	61.40	226.52	1119	31.90	0.16
32788	60.0461	232.1106	9963	35.84	0.40	0	1	60.05	232.11	9963	35.84	0.40
32813	29.8362	272.7615	3948	34.14	0.30	110735	1	29.84	272.76	3948	34.14	0.30
32815	-23.2557	300.6054	4560	33.58	0.40	210538	1	-23.26	300.61	4560	33.58	0.40
32821	26.0721	275.1825	2169	33.10	0.40	0	1	26.07	275.18	2169	33.10	0.40
32869	24.8727	276.1461	3334	33.78	0.30	112007	1	24.87	276.15	3334	33.78	0.30
32912	40.1217	265.5607	4642	34.06	0.50	109393	1	40.12	265.56	4642	34.06	0.50
32920	10.0106	284.2133	4864	33.86	0.50	101150	4	10.07	284.02	4809	33.86	0.50
32941	10.8837	283.8767	5667	34.29	0.50	100427	5	10.77	283.93	5816	34.33	0.35
32955	10.7989	283.9604	5767	34.38	0.50	100427	5	10.77	283.93	5816	34.33	0.35
32961	35.4296	269.6700	3870	33.55	0.50	110581	1	35.43	269.67	3870	33.55	0.50
32974	36.7899	268.6888	11238	35.39	0.50	105927	1	36.79	268.69	11238	35.39	0.50
32979	46.7940	259.3555	14299	36.06	0.50	103946	1	46.79	259.36	14299	36.36	0.25
32985	47.9719	257.9800	6676	35.09	0.40	102565	2	48.14	257.71	6711	35.09	0.40
33000	52.7475	251.3746	11541	36.08	0.50	100058	15	52.92	251.61	11895	36.16	0.10
33012	64.4245	213.0756	6426	35.91	0.40	101643	2	64.44	212.98	6252	35.91	0.40
33017	52.6336	251.7066	12254	36.39	0.50	100058	15	52.92	251.61	11895	36.16	0.10
33025	11.9921	283.5292	2910	33.89	0.54	111123	1	11.99	283.53	2910	33.89	0.54
33051	52.8980	251.5220	11958	35.67	0.50	100058	15	52.92	251.61	11895	36.16	0.10
33054	60.2430	235.2955	10281	35.68	0.40	0	1	60.24	235.30	10281	35.68	0.40
33059	21.6914	278.6545	8893	34.85	0.40	0	1	21.69	278.65	8893	34.85	0.40
33069	52.6016	252.1296	11678	35.65	0.40	100058	15	52.92	251.61	11895	36.16	0.10
33074	50.8215	143.7305	2115	31.44	0.45	112297	1	50.82	143.73	2115	32.28	0.25
33091	52.9449	251.7260	11726	36.20	0.50	100058	15	52.92	251.61	11895	36.16	0.10
33101	60.8526	164.8443	6672	34.81	0.40	101684	2	60.89	164.85	6503	34.81	0.40
33147	59.9660	237.1661	6276	35.05	0.40	107700	1	59.97	237.17	6276	35.05	0.40
33157	19.2912	280.2318	7723	35.29	0.40	0	1	19.29	280.23	7723	35.29	0.40
33160	60.9132	234.3837	704	30.37	0.28	100122	11	57.65	233.45	971	30.36	0.06
33163	62.2933	229.2796	946	32.47	0.40	0	1	62.29	229.28	946	32.47	0.40
33166	65.4883	202.0768	681	30.50	0.45	102880	2	65.52	202.09	698	30.73	0.21
33174	58.7432	240.9443	9307	35.64	0.40	100125	17	58.57	240.37	10389	35.82	0.16
33188	51.0988	143.7348	2180	32.66	0.30	112297	1	51.10	143.73	2180	32.28	0.25
33190	58.7118	241.0931	10716	35.84	0.40	100125	17	58.57	240.37	10389	35.82	0.16
33211	40.8796	266.4441	4009	33.84	0.50	111311	1	40.88	266.44	4009	33.84	0.50
33216	14.8032	282.6519	1300	31.17	0.40	112749	1	14.80	282.65	1300	31.34	0.28
33225	14.4854	282.8313	1391	31.52	0.40	112749	1	14.49	282.83	1391	31.34	0.28
33234	54.7263	249.8873	1126	31.34	0.30	112473	1	54.73	249.89	1126	31.34	0.30
33242	53.8409	147.6778	2994	32.99	0.30	112362	1	53.84	147.68	2994	32.99	0.30
33271	65.1198	214.2297	6284	34.79	0.40	0	1	65.12	214.23	6284	34.79	0.40
33276	62.5643	229.7863	2946	33.39	0.30	0	1	62.56	229.79	2946	33.39	0.30
33278	59.2127	240.8204	10415	35.58	0.40	100125	17	58.57	240.37	10389	35.82	0.16
33294	61.3790	164.7485	6572	34.72	0.40	100319	7	61.74	165.43	6400	34.72	0.40
33322	59.1307	241.4574	10682	35.63	0.40	100125	17	58.57	240.37	10389	35.82	0.16
33343	63.3744	227.2718	1129	31.86	0.30	102209	2	63.52	227.16	1050	31.86	0.30
33349	32.9046	273.0576	3620	33.22	0.40	112048	1	32.90	273.06	3620	33.22	0.40
33385	33.4086	272.9004	1105	30.48	0.30	102618	2	33.38	272.95	1162	30.48	0.30
33401	38.2928	269.4977	8079	35.48	0.40	106303	1	38.29	269.50	8079	35.75	0.31
33408	66.2113	202.3682	706	31.13	0.30	102880	2	65.52	202.09	698	30.73	0.21
33418	36.0684	271.2229	3780	33.81	0.50	111825	1	36.07	271.22	3780	33.81	0.50
33456	44.8855	264.1919	7978	34.79	0.50	100105	11	44.96	265.06	7928	35.25	0.17
33469	51.5014	256.7766	5456	34.17	0.50	110069	1	51.50	256.78	5456	34.17	0.50
33474	20.5574	280.6291	3162	33.19	0.54	100090	12	21.25	281.46	2847	32.75	0.12
33486	66.4922	201.7616	644	30.21	0.40	102880	2	65.52	202.09	698	30.73	0.21
33510	52.1452	256.1423	10071	35.32	0.50	106257	1	52.15	256.14	10071	35.32	0.50
33531	44.9523	264.6454	7968	35.56	0.50	100105	11	44.96	265.06	7928	35.25	0.17
33539	26.2206	277.8879	3718	34.44	0.54	0	1	26.22	277.89	3718	34.44	0.54
33550	52.8307	255.5318	802	30.61	0.30	107723	1	52.83	255.53	802	30.61	0.30
33552	35.6892	272.1455	3535	33.80	0.40	112413	1	35.69	272.15	3535	33.80	0.40
33555	45.1511	264.5210	7206	35.07	0.40	100105	11	44.96	265.06	7928	35.25	0.17
33573	66.7486	199.7641	8925	35.02	0.40	100735	4	66.56	200.06	8992	35.02	0.40
33585	51.1676	258.0755	9400	35.70	0.50	107493	1	51.17	258.08	9400	35.70	0.50
33588	60.7715	240.3386	9372	36.08	0.40	0	1	60.77	240.34	9372	36.08	0.40
33601	20.7035	280.9669	2875	32.88	0.30	100090	12	21.25	281.46	2847	32.75	0.12
33615	65.0446	223.6740	1205	32.01	0.28	112937	1	65.04	223.67	1205	32.01	0.28
33625	63.1881	167.8613	759	30.32	0.30	0	1	63.19	167.86	759	30.32	0.30
33633	58.8719	155.1956	2207	32.49	0.30	0	1	58.87	155.20	2207	32.49	0.30
33635	58.1865	246.9677	1420	31.39	0.30	112934	1	58.19	246.97	1420	31.39	0.30
33642	61.2702	239.4367	1550	32.68	0.54	110023	3	61.03	240.79	1357	31.84	0.26
33647	21.1891	280.8654	3122	33.01	0.30	100090	12	21.25	281.46	2847	32.75	0.12
33669	66.9794	203.3536	10090	35.59	0.40	100020	27	67.73	203.53	9852	35.94	0.15
33688	62.1395	237.2135	13568	36.55	0.40	0	1	62.14	237.21	13568	36.55	0.40
33693	18.6812	282.1941	7035	35.15	0.40	0	1	18.68	282.19	7035	35.15	0.40
33705	12.7032	284.9839	1066	29.94	0.45	112036	1	12.70	284.98	1066	29.94	0.45
33707	11.1373	285.6838	13691	35.03	0.50	105043	1	11.14	285.68	13691	35.61	0.35
33728	62.0524	238.0585	11190	36.69	0.40	100833	3	62.05	237.92	10636	36.69	0.40
33738	60.2459	243.2662	12077	36.37	0.40	0	1	60.25	243.27	12077	36.37	0.40
33745	11.4510	285.6435	4373	34.24	0.50	103012	2	11.53	285.99	4349	34.24	0.50
33759	44.8571	265.9124	6274	35.32	0.50	100105	11	44.96	265.06	7928	35.25	0.17
33788	29.3016	277.0679	1500	31.99	0.40	101245	3	31.15	277.27	1377	31.64	0.18
33799	67.3900	203.0261	9691	36.18	0.40	100020	27	67.73	203.53	9852	35.94	0.15
33825	66.2677	220.4754	9659	35.92	0.50	100511	5	66.26	220.50	9538	35.51	0.13
33826	12.6177	285.3596	6305	33.69	0.50	101145	3	12.51	285.50	5430	33.69	0.50
33836	66.2854	220.4419	9572	35.60	0.50	100511	5	66.26	220.50	9538	35.51	0.13
33843	66.3231	220.3380	9454	35.33	0.50	100511	5	66.26	220.50	9538	35.51	0.13
33846	42.5721	268.3945	4453	33.93	0.50	109496	1	42.57	268.39	4453	33.93	0.50
33849	59.9175	245.2103	8885	35.68	0.40	0	1	59.92	245.21	8885	35.68	0.40
33866	61.0334	242.5347	1589	31.58	0.30	110023	3	61.03	240.79	1357	31.84	0.26
33869	58.7757	247.8405	6279	35.04	0.40	110418	1	58.78	247.84	6279	35.04	0.40
33871	21.0890	281.5786	3057	33.05	0.24	100090	12	21.25	281.46	2847	32.75	0.12
33875	62.4002	162.8161	1409	32.18	0.40	0	1	62.40	162.82	1409	32.18	0.40
33907	57.1869	251.2497	9060	35.18	0.40	100634	4	57.21	251.17	8797	35.18	0.40
33914	56.5227	149.1252	17315	36.84	0.17	0	1	56.52	149.13	17315	36.84	0.17
33923	21.1336	281.7072	2777	32.79	0.50	100090	12	21.25	281.46	2847	32.75	0.12
33928	21.9515	281.3431	9747	35.44	0.50	105820	1	21.95	281.34	9747	35.44	0.50
33930	57.2577	251.3396	5795	34.90	0.40	110128	1	57.26	251.34	5795	34.90	0.40
33937	27.6927	278.4388	8922	34.18	0.40	107611	1	27.69	278.44	8922	34.18	0.40
33940	61.9768	240.6267	3247	32.80	0.40	112293	1	61.98	240.63	3247	32.80	0.40
33943	40.6629	270.2755	3928	33.75	0.40	0	1	40.66	270.28	3928	33.75	0.40
33952	21.2410	281.7032	2443	31.59	0.30	100090	12	21.25	281.46	2847	32.75	0.12
33957	29.9128	277.2602	1492	32.06	0.40	101245	3	31.15	277.27	1377	31.64	0.18
33962	22.5893	281.0859	2762	32.89	0.30	100090	12	21.25	281.46	2847	32.75	0.12
33964	57.8426	151.3384	2851	33.13	0.30	110833	1	57.84	151.34	2851	33.13	0.30
33996	49.9035	262.0223	7562	35.07	0.50	107569	1	49.90	262.02	7562	35.07	0.50
34023	27.0706	278.9620	9895	35.75	0.40	107400	1	27.07	278.96	9895	35.75	0.40
