# group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
208077	1	-76.4233	111.9889	8492	34.12	0.40
210224	1	-31.0870	120.3554	4656	34.42	0.40
0	1	-78.0600	110.8100	16408	36.17	0.50
201289	3	-37.2573	119.8830	4608	33.87	0.30
208274	1	-72.7355	114.7164	3932	33.78	0.40
209252	1	-74.6770	309.7832	5995	34.22	0.50
0	1	-79.4900	110.1300	1552	32.03	0.54
201399	2	-72.1953	115.4691	15854	36.75	0.14
200681	4	-64.4708	117.6584	5498	33.97	0.35
202632	2	-30.0720	121.0176	4798	34.52	0.40
204061	1	-73.5502	114.6247	15843	36.22	0.50
204920	1	-26.0287	120.8468	10644	35.70	0.28
210869	1	-29.3150	120.8891	6245	34.02	0.28
210122	1	-74.1949	114.6371	5886	34.41	0.50
0	1	-80.7900	109.1600	1554	32.11	0.30
202379	2	-61.9199	118.0428	5406	34.29	0.28
201359	3	-66.8040	306.4326	8646	35.55	0.50
0	1	-22.2600	121.1000	237	29.28	0.20
200187	8	-32.6680	121.0393	5162	33.99	0.24
0	1	-21.9800	121.1500	-196	24.45	0.16
0	1	-21.5700	121.1700	-290	24.42	0.12
202764	2	-66.8470	117.8223	5815	34.60	0.35
201302	3	-85.9319	93.6814	6737	34.63	0.17
0	1	-73.8800	115.5800	10997	36.74	0.50
0	1	-84.7600	101.1900	360	28.46	0.20
0	1	-74.0200	115.7600	11153	35.88	0.50
210987	1	-62.9287	118.5484	4168	33.76	0.40
201766	2	-69.2011	117.3234	5704	33.28	0.50
0	1	-86.7900	89.9100	6766	34.65	0.40
0	1	-67.0500	118.1100	6824	34.65	0.40
205318	1	-40.5292	303.4995	10561	34.70	0.50
0	1	-74.0800	116.2600	11141	36.46	0.50
200924	3	-69.8284	119.6553	16694	36.34	0.50
204350	1	-68.2396	305.9960	15289	36.49	0.35
201037	3	-72.4636	119.2345	5942	34.30	0.21
0	1	-87.9700	80.5000	7796	36.56	0.50
0	1	-75.3400	117.1000	8498	36.02	0.50
0	1	-24.8200	121.6800	-376	24.38	0.16
211373	1	-85.7504	319.2472	5690	34.35	0.40
0	1	-74.5600	306.6300	7221	34.89	0.40
0	1	-43.3600	121.2400	2650	32.80	0.30
0	1	-86.9200	100.4600	10579	36.13	0.40
202344	2	-11.8133	122.2024	5220	33.94	0.40
202213	2	-26.5341	121.8345	11156	35.99	0.17
210290	1	-81.0973	308.8520	6995	34.02	0.40
209544	1	-69.3734	119.6709	5803	34.57	0.50
0	1	-36.3800	121.6500	4952	34.44	0.40
201053	3	-30.5823	122.3690	4676	34.19	0.24
0	1	-84.6200	111.7400	6428	34.82	0.40
0	1	-83.5600	113.9500	156	27.73	0.12
209606	1	-65.5810	120.3192	7111	35.31	0.50
202704	2	-54.6575	121.3935	5254	33.97	0.23
205553	1	-48.1563	121.4402	11713	36.20	0.40
0	1	-47.1600	121.5400	9436	35.78	0.40
0	1	-31.2100	121.9600	5085	34.41	0.40
